number,bestOf,title,earwolfUrl,guests,live
692,False,"Chalke Talk, Structure-A-Stuffy & Tunt",https://www.earwolf.com/episode/chalke-talk-structure-a-stuffy-tunt/,"['Sarah Chalke', 'Paul F. Tompkins', 'Katie Rich']",False
691,False,#NoStank,https://www.earwolf.com/episode/nostank/,"['Tim Baltz', 'Shaun Diston', 'Lily Sullivan']",False
690,False,Spices On Your Meat,https://www.earwolf.com/episode/spices-on-your-meat/,"['Mary Lynn Rajskub', 'Ego Nwodim', 'Carl Tart', 'Ben Rodgers']",False
689,False,Marketing Mine Own Selfowitz,https://www.earwolf.com/episode/marketing-mine-own-selfowitz/,"['Jake Fogelnest', 'Dan Lippert', 'Lyric Lewis']",False
688,False,The Sugarhill Gang Museum,https://www.earwolf.com/episode/the-sugarhill-gang-museum/,"['Edi Patterson', 'Paul F. Tompkins']",False
687,False,Full Grown Grogu,https://www.earwolf.com/episode/full-grown-grogu/,"['Ben Schwartz', 'Horatio Sanz']",False
2020.4,True,Best of 2020 Part 4,https://www.earwolf.com/episode/best-of-2020-part-4/,['Paul F. Tompkins'],False
2020.3,True,Best of 2020 Part 3,https://www.earwolf.com/episode/best-of-2020-part-3/,['Paul F. Tompkins'],False
2020.2,True,Best of 2020 Part 2,https://www.earwolf.com/episode/best-of-2020-part-2/,['Paul F. Tompkins'],False
2020.1,True,Best of 2020 Part 1,https://www.earwolf.com/episode/best-of-2020-part-1/,['Paul F. Tompkins'],False
686,False,2020 Holiday Spectacular,https://www.earwolf.com/episode/2020-holiday-spectacular/,"['Jason Mantzoukas', 'Paul F. Tompkins', 'Andy Daly', 'Jon Gabrus', 'Lauren Lapkus', 'Ego Nwodim', 'Carl Tart', 'Lily Sullivan', 'Tim Baltz', 'Shaun Diston']",False
685,False,The Fix-It Guys,https://www.earwolf.com/episode/the-fix-it-guys/,"['Paul Rust', 'Neil Campbell']",False
684,False,Road Toad,https://www.earwolf.com/episode/road-toad/,"['Natalie Palamides', 'Drew Tarver', 'Ryan Rosenberg', 'Dan Lippert', 'Jon Mackey']",False
628,False,"Best of CBB, 2020 (Vote for 10 of Your Favorites)",https://www.earwolf.com/episode/best-of-cbb-2020-vote-for-10-of-your-favorites/,[],False
683,False,Sidewalk in the Desert,https://www.earwolf.com/episode/sidewalk-in-the-desert/,"['Kulap Vilaysack', 'SuChin Pak', 'Ego Nwodim', 'Madeline Walter']",False
682,False,Colin Quinn's Dream Presentation,https://www.earwolf.com/episode/colin-quinns-dream-presentation/,"['Colin Quinn', 'Jessica McKenna', 'Will Hines']",False
681,False,Bard and Switch with Aunty Donna,https://www.earwolf.com/episode/bard-and-switch-with-aunty-donna/,['Aunty Donna'],False
680,False,Small Claims Cyborg,https://www.earwolf.com/episode/small-claims-cyborg/,"['Jason Mantzoukas', 'Thomas Middleditch']",False
679,False,Popcorn World,https://www.earwolf.com/episode/popcorn-world/,"['Gillian Jacobs', 'Paul F. Tompkins', 'Carl Tart']",False
678,False,The Heimlich Remix,https://www.earwolf.com/episode/the-heimlich-remix/,"['Steve Byrne', 'Jimmy O. Yang', 'Drew Tarver', 'Katie Rich']",False
677,False,The Calvins Family Telethon Extravaganza,https://www.earwolf.com/episode/the-calvins-family-telethon-extravaganza/,"['Taran Killam', 'Paul Brittain', 'Ryan Gaul']",False
676,False,Juice on Juice,https://www.earwolf.com/episode/juice-on-juice/,"['Nick Thune', 'Jon Gabrus', 'Lily Sullivan', 'Ben Rodgers']",False
675,False,Clothing Sausages,https://www.earwolf.com/episode/clothing-sausages/,"['Arden Myrin', 'Lauren Lapkus', 'Brian Jordan Alvarez']",False
674,False,Canon Relapse,https://www.earwolf.com/episode/canon-relapse/,"['Shaun Diston', 'Tim Baltz', 'Edgar Momplaisir']",False
673,False,The Grax Apology Tour,https://www.earwolf.com/episode/the-grax-apology-tour/,"['Eliza Skinner', 'Joe Wengert', 'Matt Apodaca']",False
672,False,Busy Burgeys,https://www.earwolf.com/episode/busy-burgeys/,"['Busy Philipps', 'Ego Nwodim', 'Paul F. Tompkins', 'Dan Lippert']",False
671,False,Married Thespians,https://www.earwolf.com/episode/married-thespians/,"['Patton Oswalt', ""Mike O'Brien"", 'Mary Sohn']",False
670,False,The Meet Heads,https://www.earwolf.com/episode/the-meet-heads/,"['Kyle Bornheimer', 'Carl Tart', 'Lily Sullivan']",False
669,False,Star Trek: Upper Decker,https://www.earwolf.com/episode/star-trek-upper-decker/,"['Jack Quaid', 'Eugene Cordero', 'Tawny Newsome']",False
668,False,Four Siblings,https://www.earwolf.com/episode/four-siblings/,"['June Diane Raphael', 'Paul F. Tompkins', 'Jacquis Neal']",False
667,False,Comedy Bang! Bang! Presents: We Have To Stop Talking TMNT on CBB,https://www.earwolf.com/episode/comedy-bang-bang-presents-we-have-to-stop-talking-tmnt-on-cbb/,['Shaun Diston'],False
667,False,Andy Samberg Is Not Family,https://www.earwolf.com/episode/andy-samberg-is-not-family/,"['Andy Samberg', 'Mike Hanford', 'Tim Kalpakis', 'Jefferson Dutton', 'Will Hines']",False
666,False,You Get It?,https://www.earwolf.com/episode/you-get-it/,"['Yassir Lester', 'Edi Patterson', 'Ryan Gaul', 'Nick Wiger']",False
665,False,Half a Hartnett,https://www.earwolf.com/episode/half-a-hartnett/,"['Jim Gaffigan', 'Lily Sullivan', 'Ego Nwodim']",False
664,False,"YouTube, Show Me Haircut",https://www.earwolf.com/episode/youtube-show-me-haircut/,"['Langston Kerman', 'Heidi Gardner', 'Zac Oyama']",False
663,False,P.A.I.G.E. Is Magic,https://www.earwolf.com/episode/p-a-i-g-e-is-magic/,"['John Hodgman', 'David Rees', 'Paul F. Tompkins', 'Matt Gourley']",False
662,False,The Robbies,https://www.earwolf.com/episode/the-robbies/,"['Rory Scovel', 'Sasheer Zamata', 'Mary Holland']",False
661,False,Comedy Bang! Bang! Presents: The Neighborhood Listen!,https://www.earwolf.com/episode/comedy-bang-bang-presents-the-neighborhood-listen/,"['Paul F. Tompkins', 'Nicole Parker', 'Maria Blasucci']",False
661,False,The Moser Trio,https://www.earwolf.com/episode/the-moser-trio/,"['Paul F. Tompkins', 'Carl Tart', 'Tim Baltz']",False
660,False,Beer with Judy Greer Award,https://www.earwolf.com/episode/beer-with-judy-greer-award/,"['Judy Greer', 'Shaun Diston', 'Will Hines']",False
659,False,Hubba Hubba Punch Up,https://www.earwolf.com/episode/hubba-hubba-punch-up/,"['Judd Apatow', 'Edi Patterson', 'Ego Nwodim', 'Ben Rodgers']",False
658,False,AcroBATics,https://www.earwolf.com/episode/acrobatics/,"['Myq Kaplan', 'Mike Hanford', 'Jessica McKenna']",False
