,number,bestOf,title,live,releaseDate,guests,earwolfUrl,contentfulId
0,692.0,False,"Chalke Talk, Structure-A-Stuffy & Tunt",False,2021-02-08,"[""Sarah Chalke"", ""Paul F. Tompkins"", ""Katie Rich""]",https://www.earwolf.com/episode/chalke-talk-structure-a-stuffy-tunt/,37hbKWBOph9QgnE7F61BOu
1,691.0,False,#NoStank,False,2021-02-01,"[""Tim Baltz"", ""Shaun Diston"", ""Lily Sullivan""]",https://www.earwolf.com/episode/nostank/,1KmFJqLN2i5kvhhoZPfXte
2,690.0,False,Spices On Your Meat,False,2021-01-25,"[""Mary Lynn Rajskub"", ""Ego Nwodim"", ""Carl Tart"", ""Ben Rodgers""]",https://www.earwolf.com/episode/spices-on-your-meat/,1DiYLnYmCdH6Ks7ZwEtP8s
3,689.0,False,Marketing Mine Own Selfowitz,False,2021-01-18,"[""Jake Fogelnest"", ""Dan Lippert"", ""Lyric Lewis""]",https://www.earwolf.com/episode/marketing-mine-own-selfowitz/,5Jl71sQ9h2nOXE5s2iWZmv
4,688.0,False,The Sugarhill Gang Museum,False,2021-01-11,"[""Edi Patterson"", ""Paul F. Tompkins""]",https://www.earwolf.com/episode/the-sugarhill-gang-museum/,4YAqUWlAblRQkHlp1SxqZo
5,687.0,False,Full Grown Grogu,False,2021-01-04,"[""Ben Schwartz"", ""Horatio Sanz""]",https://www.earwolf.com/episode/full-grown-grogu/,7tpSyXucGumfLtGsZf0pIX
6,2020.4,True,Best of 2020 Part 4,False,2020-12-31,"[""Paul F. Tompkins""]",https://www.earwolf.com/episode/best-of-2020-part-4/,QPYSRgOWqOYNlfNXrUW16
7,2020.3,True,Best of 2020 Part 3,False,2020-12-28,"[""Paul F. Tompkins""]",https://www.earwolf.com/episode/best-of-2020-part-3/,7vpZupcJq2UCggpTV8Mj9f
8,2020.2,True,Best of 2020 Part 2,False,2020-12-24,"[""Paul F. Tompkins""]",https://www.earwolf.com/episode/best-of-2020-part-2/,7k5SaF94ZtEB3WR5PXBOqi
9,2020.1,True,Best of 2020 Part 1,False,2020-12-21,"[""Paul F. Tompkins""]",https://www.earwolf.com/episode/best-of-2020-part-1/,1wF7EKqarZp0W7Si85g67R
10,686.0,False,2020 Holiday Spectacular,False,2020-12-14,"[""Jason Mantzoukas"", ""Paul F. Tompkins"", ""Andy Daly"", ""Jon Gabrus"", ""Lauren Lapkus"", ""Ego Nwodim"", ""Carl Tart"", ""Lily Sullivan"", ""Tim Baltz"", ""Shaun Diston""]",https://www.earwolf.com/episode/2020-holiday-spectacular/,SNsaOesPAeDMRCVNWcpSE
11,685.0,False,The Fix-It Guys,False,2020-12-07,"[""Paul Rust"", ""Neil Campbell""]",https://www.earwolf.com/episode/the-fix-it-guys/,2izjGa681O8a8C6LI4THEE
12,684.0,False,Road Toad,False,2020-11-30,"[""Natalie Palamides"", ""Drew Tarver"", ""Ryan Rosenberg"", ""Dan Lippert"", ""Jon Mackey""]",https://www.earwolf.com/episode/road-toad/,6xMQPYtswLRZzuV9f3v1pO
13,683.0,False,Sidewalk in the Desert,False,2020-11-23,"[""Kulap Vilaysack"", ""SuChin Pak"", ""Ego Nwodim"", ""Madeline Walter""]",https://www.earwolf.com/episode/sidewalk-in-the-desert/,1CtrCfXNSgFOiRfdYf6tqy
14,682.0,False,Colin Quinn's Dream Presentation,False,2020-11-16,"[""Colin Quinn"", ""Jessica McKenna"", ""Will Hines""]",https://www.earwolf.com/episode/colin-quinns-dream-presentation/,1tTTy5iH6xHHuiYYzGvjOM
15,681.0,False,Bard and Switch with Aunty Donna,False,2020-11-09,"[""Aunty Donna""]",https://www.earwolf.com/episode/bard-and-switch-with-aunty-donna/,1odPLZ8Dar3Sutrb0EUQCp
16,680.0,False,Small Claims Cyborg,False,2020-11-02,"[""Jason Mantzoukas"", ""Thomas Middleditch""]",https://www.earwolf.com/episode/small-claims-cyborg/,5dKV8qJ2bequS0pPFA6CYj
17,679.0,False,Popcorn World,False,2020-10-26,"[""Gillian Jacobs"", ""Paul F. Tompkins"", ""Carl Tart""]",https://www.earwolf.com/episode/popcorn-world/,1nG2gEacksMfGsnwvtBgOp
18,678.0,False,The Heimlich Remix,False,2020-10-19,"[""Steve Byrne"", ""Jimmy O. Yang"", ""Drew Tarver"", ""Katie Rich""]",https://www.earwolf.com/episode/the-heimlich-remix/,7bxE4p7RiouNJ2JzVgA7qn
19,677.0,False,The Calvins Family Telethon Extravaganza,False,2020-10-12,"[""Taran Killam"", ""Paul Brittain"", ""Ryan Gaul""]",https://www.earwolf.com/episode/the-calvins-family-telethon-extravaganza/,6lGWkz9T4rlh9bs645ACMk
20,676.0,False,Juice on Juice,False,2020-10-05,"[""Nick Thune"", ""Jon Gabrus"", ""Lily Sullivan"", ""Ben Rodgers""]",https://www.earwolf.com/episode/juice-on-juice/,jhinmnmsvPS8dH2xAEH2f
21,675.0,False,Clothing Sausages,False,2020-09-28,"[""Arden Myrin"", ""Lauren Lapkus"", ""Brian Jordan Alvarez""]",https://www.earwolf.com/episode/clothing-sausages/,2C7huATMv3Giyf0VnTTH24
22,674.0,False,Canon Relapse,False,2020-09-21,"[""Shaun Diston"", ""Tim Baltz"", ""Edgar Momplaisir""]",https://www.earwolf.com/episode/canon-relapse/,4vl2S5ZeQgHxhfZtSEisml
23,673.0,False,The Grax Apology Tour,False,2020-09-14,"[""Eliza Skinner"", ""Joe Wengert"", ""Matt Apodaca""]",https://www.earwolf.com/episode/the-grax-apology-tour/,GojexARZ5sAMwAjfJWxcz
24,672.0,False,Busy Burgeys,False,2020-09-07,"[""Busy Philipps"", ""Ego Nwodim"", ""Paul F. Tompkins"", ""Dan Lippert""]",https://www.earwolf.com/episode/busy-burgeys/,4kXag3Rwg1T0fIz83uoivI
25,671.0,False,Married Thespians,False,2020-08-31,"[""Patton Oswalt"", ""Mike O'Brien"", ""Mary Sohn""]",https://www.earwolf.com/episode/married-thespians/,2VwqM7Vkq6zdEUeZnrkKoQ
26,670.0,False,The Meet Heads,False,2020-08-24,"[""Kyle Bornheimer"", ""Carl Tart"", ""Lily Sullivan""]",https://www.earwolf.com/episode/the-meet-heads/,4YDT38JuLbQ7mSlNULfodY
