releaseDate,number,guests,bestOf,live
2021-02-08,692,"[""Sarah Chalke"", ""Paul F. Tompkins"", ""Katie Rich""]",False,False
2021-02-01,691,"[""Tim Baltz"", ""Shaun Diston"", ""Lily Sullivan""]",False,False
2021-01-25,690,"[""Mary Lynn Rajskub"", ""Ego Nwodim"", ""Carl Tart"", ""Ben Rodgers""]",False,False
2021-01-18,689,"[""Jake Fogelnest"", ""Dan Lippert"", ""Lyric Lewis""]",False,False
2021-01-11,688,"[""Edi Patterson"", ""Paul F. Tompkins""]",False,False
2021-01-04,687,"[""Ben Schwartz"", ""Horatio Sanz""]",False,False
2020-12-31,2020.4,[],True,False
2020-12-28,2020.3,[],True,False
2020-12-24,2020.2,[],True,False
2020-12-21,2020.1,[],True,False
2020-12-14,686,"[""Jason Mantzoukas"", ""Paul F. Tompkins"", ""Andy Daly"", ""Jon Gabrus"", ""Lauren Lapkus"", ""Ego Nwodim"", ""Carl Tart"", ""Lily Sullivan"", ""Tim Baltz"", ""Shaun Diston"", ""Dan Lippert""]",False,False
2020-12-07,685,"[""Paul Rust"", ""Neil Campbell""]",False,False
2020-11-30,684,"[""Natalie Palamides"", ""Drew Tarver"", ""Ryan Rosenberg"", ""Dan Lippert"", ""Jon Mackey""]",False,False
2020-11-23,683,"[""Kulap Vilaysack"", ""SuChin Pak"", ""Ego Nwodim"", ""Madeline Walter""]",False,False
2020-11-16,682,"[""Colin Quinn"", ""Jessica McKenna"", ""Will Hines""]",False,False
2020-11-09,681,"[""Aunty Donna (Broden Kelly"", ""Zachary Ruan"", ""Mark Bonanno)""]",False,False
2020-11-02,680,"[""Jason Mantzoukas"", ""Thomas Middleditch""]",False,False
2020-10-26,679,"[""Gillian Jacobs"", ""Paul F. Tompkins"", ""Carl Tart""]",False,False
2020-10-19,678,"[""Steve Byrne"", ""Jimmy O. Yang"", ""Drew Tarver"", ""Katie Rich""]",False,False
2020-10-12,677,"[""Taran Killam"", ""Paul Brittain"", ""Ryan Gaul""]",False,False
2020-10-05,676,"[""Nick Thune"", ""Jon Gabrus"", ""Lily Sullivan"", ""Ben Rodgers""]",False,False
2020-09-28,675,"[""Arden Myrin"", ""Lauren Lapkus"", ""Brian Jordan Alvarez""]",False,False
2020-09-21,674,"[""Shaun Diston"", ""Tim Baltz"", ""Edgar Momplaisir""]",False,False
2020-09-14,673,"[""Eliza Skinner"", ""Joe Wengert"", ""Matt Apodaca""]",False,False
2020-09-07,672,"[""Busy Philipps"", ""Ego Nwodim"", ""Paul F. Tompkins"", ""Dan Lippert""]",False,False
2020-08-31,671,"[""Patton Oswalt"", ""Mike O'Brien"", ""Mary Sohn""]",False,False
2020-08-24,670,"[""Kyle Bornheimer"", ""Carl Tart"", ""Lily Sullivan""]",False,False
2020-08-17,669,"[""Jack Quaid"", ""Eugene Cordero"", ""Tawny Newsome""]",False,False
2020-08-10,668,"[""June Diane Raphael"", ""Paul F. Tompkins"", ""Jacquis Neal""]",False,False
2020-08-06,,[],False,False
2020-08-03,667,"[""Andy Samberg"", ""Mike Hanford"", ""Tim Kalpakis"", ""Jefferson Dutton"", ""Will Hines""]",False,False
2020-07-27,666,"[""Yassir Lester"", ""Edi Patterson"", ""Ryan Gaul"", ""Nick Wiger""]",False,False
2020-07-20,665,"[""Jim Gaffigan"", ""Lily Sullivan"", ""Ego Nwodim""]",False,False
2020-07-13,664,"[""Langston Kerman"", ""Heidi Gardner"", ""Zac Oyama""]",False,False
2020-07-06,663,"[""John Hodgman"", ""David Rees"", ""Paul F. Tompkins"", ""Matt Gourley""]",False,False
2020-06-29,662,"[""Rory Scovel"", ""Sasheer Zamata"", ""Mary Holland""]",False,False
2020-06-22,661,"[""Paul F. Tompkins"", ""Carl Tart"", ""Tim Baltz""]",False,False
2020-06-15,660,"[""Judy Greer"", ""Shaun Diston"", ""Will Hines""]",False,False
2020-06-08,659,"[""Judd Apatow"", ""Edi Patterson"", ""Ego Nwodim"", ""Ben Rodgers""]",False,False
2020-06-01,658,"[""Myq Kaplan"", ""Mike Hanford"", ""Jessica McKenna""]",False,False
2020-05-25,657,"[""Ben Schwartz"", ""Tawny Newsome"", ""Dan Lippert""]",False,False
2020-05-21,656,"[""Andy Daly"", ""Maria Bamford"", ""Matt Gourley""]",False,False
2020-05-18,655,"[""David Spade"", ""Lauren Lapkus"", ""Seth Morris""]",False,False
2020-05-11,654,"[""Rhys Darby"", ""Paul F. Tompkins"", ""Matt Apodaca""]",False,False
2020-05-04,653,"[""Jason Mantzoukas"", ""Paul F. Tompkins"", ""Jon Gabrus"", ""Lily Sullivan"", ""Carl Tart"", ""Ego Nwodim""]",False,False
2020-04-27,652,"[""Jonathan Van Ness"", ""Edi Patterson"", ""Tawny Newsome"", ""Tim Baltz""]",False,False
2020-04-20,651,"[""Ben Schwartz"", ""Thomas Middleditch""]",False,False
2020-04-13,650,"[""Jason Mantzoukas"", ""Andy Daly""]",False,False
2020-04-09,649,"[""Jon Gabrus"", ""Ego Nwodim"", ""Carl Tart"", ""Drew Tarver""]",False,False
2020-04-06,648,"[""Alan Yang"", ""Lauren Lapkus"", ""Mike Castle""]",False,False
2020-03-30,647,"[""Paul F. Tompkins"", ""Nicole Parker"", ""Ryan Gaul""]",False,False
2020-03-23,646,"[""Shaun Diston"", ""Lily Sullivan"", ""Jacob Wysocki""]",False,False
2020-03-16,645,"[""Matt Braunger"", ""Will Hines"", ""Brad Evans"", ""Nick Ciarelli""]",False,False
2020-03-09,644,"[""Jon Gabrus"", ""D\u2019Arcy Carden"", ""Brandon Scott Jones"", ""Dan Lippert""]",False,False
2020-03-02,643,"[""Neil Campbell"", ""Paul F. Tompkins""]",False,False
2020-02-24,642,"[""Jimmy Pardo"", ""Niccole Thurman"", ""Matt Apodaca""]",False,False
2020-02-17,641,"[""Adam Cayton-Holland"", ""Jessica McKenna"", ""Zach Reino""]",False,False
2020-02-13,640,"[""Ben Schwartz""]",False,False
2020-02-10,639,"[""Andy Samberg"", ""Nick Kroll"", ""Lily Sullivan""]",False,False
2020-02-03,638,"[""Jason Mantzoukas"", ""Shaun Diston"", ""Tim Baltz""]",False,False
2020-01-27,637,"[""Moshe Kasher"", ""Paul F. Tompkins"", ""Tawny Newsome""]",False,False
2020-01-20,636,"[""Kristian Bruun"", ""Ben Rodgers"", ""Lisa Gilroy""]",False,False
2020-01-16,635,"[""Rob Huebel"", ""Erinn Hayes"", ""Jonathan Braylock"", ""Jerah Milligan"", ""James III""]",False,False
2020-01-13,634,"[""David Wain"", ""Ego Nwodim"", ""Carl Tart""]",False,False
2020-01-06,633,"[""Ben Schwartz"", ""Horatio Sanz""]",False,False
2020-01-02,2019.4,[],True,False
2019-12-30,2019.3,[],True,False
2019-12-26,2019.2,[],True,False
2019-12-23,2019.1,[],True,False
2019-12-16,632,"[""Electric Guest"", ""Jason Mantzoukas"", ""Jon Gabrus"", ""Lauren Lapkus"", ""Shaun Diston"", ""Tim Baltz"", ""Lily Sullivan"", ""Will Hines"", ""Zeke Nicholson"", ""Paul F. Tompkins"", ""Zach Reino"", ""Carl Tart"", ""Drew Tarver""]",False,False
2019-12-09,631,"[""Rekha Shankar"", ""Mary Holland"", ""Jimmy Fowlie""]",False,False
2019-12-02,630,"[""Thomas Middleditch"", ""Jon Gabrus""]",False,False
2019-11-25,629,"[""Demi Adejuyigbe"", ""Gabe Gundacker"", ""Ryan Rosenberg"", ""Ify Nwadiwe""]",False,False
2019-11-18,628,"[""Joel Kim Booster"", ""Mitra Jouhari"", ""Dan Lippert"", ""Zac Oyama""]",False,False
2019-11-11,627,"[""Allen Strickland Williams"", ""Holly Prazoff"", ""Jiavani Linayao""]",False,False
2019-11-04,626,"[""Max Silvestri"", ""Edgar Momplaisir"", ""Zeke Nicholson""]",False,False
2019-10-28,625,"[""Jon Gabrus"", ""Claudia O'Doherty"", ""Will Hines"", ""Ben Rodgers""]",False,False
2019-10-21,624,"[""Jocelyn DeBoer"", ""Dawn Luebbe"", ""Griffin Newman"", ""Laci Mosley""]",False,False
2019-10-14,623,"[""Sarah Baker"", ""Matt Gourley"", ""Paul F. Tompkins""]",False,False
2019-10-07,622,"[""Jason Mantzoukas"", ""Shaun Diston"", ""Lily Sullivan"", ""Tim Baltz""]",False,False
2019-09-30,621,"[""Stephanie Wittels Wachs"", ""Dan Lippert"", ""Drew Tarver"", ""Ryan Rosenberg""]",False,False
2019-09-23,620,"[""D'Arcy Carden"", ""Anthony King"", ""John Gemberling""]",False,False
2019-09-16,619,"[""Zach Galifianakis"", ""Lauren Lapkus"", ""Ryan Gaul"", ""Jiavani Linayao""]",False,False
2019-09-09,618,"[""Kevin Nealon"", ""Joe Wengert"", ""Lily Sullivan""]",False,False
2019-09-02,617,"[""Anthony Jeselnik"", ""Dan Lippert"", ""Dhruv Uday Singh""]",False,False
2019-08-26,616,"[""YACHT"", ""Shaun Diston"", ""Drew Tarver"", ""Carl Tart""]",False,False
2019-08-19,615,"[""Tatiana Maslany"", ""Kristian Bruun"", ""Paul F. Tompkins"", ""Kirby Howell-Baptiste""]",False,False
2019-08-12,614,"[""Adam DeVine"", ""Tim Baltz"", ""Edi Patterson""]",False,False
2019-08-05,613,"[""Moshe Kasher"", ""Natasha Leggero"", ""Drew Tarver"", ""Ele Woods""]",False,False
2019-07-29,612,"[""Jimmy Pardo"", ""Carl Tart"", ""Lauren Ashley Smith""]",False,False
2019-07-22,611,"[""Bryan Safi"", ""Jon Gabrus"", ""Zac Oyama"", ""Edgar Momplaisir""]",False,False
2019-07-15,610,"[""Alan Tudyk"", ""Holly Prazoff"", ""Ryan Rosenberg""]",False,False
2019-07-08,609,"[""Andy Richter"", ""Lily Sullivan"", ""Oscar Montoya""]",False,False
2019-07-01,608,"[""Tim Heidecker"", ""Will Hines"", ""Ben Rodgers""]",False,False
2019-06-24,607,"[""Beth Stelling"", ""Ego Nwodim"", ""Betsy Sodaro""]",False,False
2019-06-17,606,"[""Silversun Pickups"", ""Paul F. Tompkins"", ""Jessica McKenna""]",False,False
2019-06-10,605,"[""Max Silvestri"", ""Shaun Diston"", ""Dan Lippert""]",False,False
2019-06-03,604,"[""Seth Green"", ""Carl Tart"", ""Jon Daly"", ""Gil Ozeri""]",False,False
2019-05-27,603,"[""Mike Hanford"", ""Tim Kalpakis"", ""Jefferson Dutton"", ""Neil Campbell""]",False,False
2019-05-20,602,"[""David Cross"", ""Will Hines"", ""Ele Woods""]",False,False
2019-05-13,601,"[""Kulap Vilaysack"", ""Lily Sullivan"", ""Ryan Gaul""]",False,False
2019-05-06,600,"[""Jason Mantzoukas"", ""Andy Daly""]",False,False
2019-04-29,599,"[""10th Anniversary""]",False,False
2019-04-22,598,"[""Tim Robinson"", ""Ryan Rosenberg"", ""Natalie Palamides"", ""Courtney Pauroso""]",False,False
2019-04-15,597,"[""Baron Vaughn"", ""Zac Oyama"", ""Ify Nwadiwe""]",False,False
2019-04-08,596,"[""Griffin Newman"", ""Paul F. Tompkins"", ""Alison Rich""]",False,False
2019-04-01,595,"[""Demi Adejuyigbe"", ""Carl Tart"", ""Alyssa Limperis""]",False,False
2019-03-28,594,"[""Dan Mangan"", ""Will Hines"", ""Jon Mackey""]",False,False
2019-03-25,593,"[""Natalie Morales"", ""Jessica McKenna"", ""Zeke Nicholson""]",False,False
2019-03-18,592,"[""Langston Kerman"", ""Ego Nwodim"", ""Carl Tart""]",False,False
2019-03-14,591,"[""Flula Borg"", ""Shaun Diston"", ""Lily Sullivan"", ""Tim Baltz""]",False,False
2019-03-11,590,"[""Andrea Savage"", ""Matt Besser"", ""Madeline Walter""]",False,False
2019-03-04,589,"[""Patton Oswalt"", ""Andy Daly""]",False,False
