number,bestOf,title,live,releaseDate,guests,earwolfUrl
692,FALSE,"Chalke Talk, Structure-A-Stuffy & Tunt",FALSE,2021-02-08,"['Sarah Chalke', 'Paul F. Tompkins', 'Katie Rich']",https://www.earwolf.com/episode/chalke-talk-structure-a-stuffy-tunt/
691,FALSE,#NoStank,FALSE,2021-02-01,"['Tim Baltz', 'Shaun Diston', 'Lily Sullivan']",https://www.earwolf.com/episode/nostank/
690,FALSE,Spices On Your Meat,FALSE,2021-01-25,"['Mary Lynn Rajskub', 'Ego Nwodim', 'Carl Tart', 'Ben Rodgers']",https://www.earwolf.com/episode/spices-on-your-meat/
689,FALSE,Marketing Mine Own Selfowitz,FALSE,2021-01-18,"['Jake Fogelnest', 'Dan Lippert', 'Lyric Lewis']",https://www.earwolf.com/episode/marketing-mine-own-selfowitz/
688,FALSE,The Sugarhill Gang Museum,FALSE,2021-01-11,"['Edi Patterson', 'Paul F. Tompkins']",https://www.earwolf.com/episode/the-sugarhill-gang-museum/
687,FALSE,Full Grown Grogu,FALSE,2021-01-04,"['Ben Schwartz', 'Horatio Sanz']",https://www.earwolf.com/episode/full-grown-grogu/
2020.4,TRUE,Best of 2020 Part 4,FALSE,2020-12-31,['Paul F. Tompkins'],https://www.earwolf.com/episode/best-of-2020-part-4/
2020.3,TRUE,Best of 2020 Part 3,FALSE,2020-12-28,['Paul F. Tompkins'],https://www.earwolf.com/episode/best-of-2020-part-3/
2020.2,TRUE,Best of 2020 Part 2,FALSE,2020-12-24,['Paul F. Tompkins'],https://www.earwolf.com/episode/best-of-2020-part-2/
2020.1,TRUE,Best of 2020 Part 1,FALSE,2020-12-21,['Paul F. Tompkins'],https://www.earwolf.com/episode/best-of-2020-part-1/
686,FALSE,2020 Holiday Spectacular,FALSE,2020-12-14,"['Jason Mantzoukas', 'Paul F. Tompkins', 'Andy Daly', 'Jon Gabrus', 'Lauren Lapkus', 'Ego Nwodim', 'Carl Tart', 'Lily Sullivan', 'Tim Baltz', 'Shaun Diston']",https://www.earwolf.com/episode/2020-holiday-spectacular/
685,FALSE,The Fix-It Guys,FALSE,2020-12-07,"['Paul Rust', 'Neil Campbell']",https://www.earwolf.com/episode/the-fix-it-guys/
684,FALSE,Road Toad,FALSE,2020-11-30,"['Natalie Palamides', 'Drew Tarver', 'Ryan Rosenberg', 'Dan Lippert', 'Jon Mackey']",https://www.earwolf.com/episode/road-toad/
683,FALSE,Sidewalk in the Desert,FALSE,2020-11-23,"['Kulap Vilaysack', 'SuChin Pak', 'Ego Nwodim', 'Madeline Walter']",https://www.earwolf.com/episode/sidewalk-in-the-desert/
682,FALSE,Colin Quinn's Dream Presentation,FALSE,2020-11-16,"['Colin Quinn', 'Jessica McKenna', 'Will Hines']",https://www.earwolf.com/episode/colin-quinns-dream-presentation/
681,FALSE,Bard and Switch with Aunty Donna,FALSE,2020-11-09,['Aunty Donna'],https://www.earwolf.com/episode/bard-and-switch-with-aunty-donna/
